,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
629,Lenovo,Core,Intel,Core i3,10th,8.0,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,545.87,647.4,15,3.7,3,0
630,ASUS,Core,Intel,Core i7,11th,16.0,DDR4,1024,0,Windows,32,6,Casual,15.6,0,No,No,1572.74,1949.9869999999999,19,0.0,0,0
631,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,2,ThinNlight,15.6,3,No,No,935.87,1118.0,16,0.0,0,0
632,HP,14s,Intel,Core i3,10th,4.0,DDR4,0,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,474.37,556.231,14,3.8,1146,175
633,HP,Core,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,32,4,Casual,16.1,0,No,No,1066.0,1157.0,7,0.0,0,0
634,ASUS,Core,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,630.37,766.87,17,0.0,0,0
635,ASUS,VivoBook,Intel,Core i3,10th,8.0,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,506.87,597.87,15,4.0,1850,216
636,ASUS,Zephyrus,Intel,Core i7,11th,16.0,DDR4,1024,0,Windows,32,6,Casual,16.0,1,No,No,2044.2369999999999,2872.87,28,4.3,7,0
637,ASUS,Ryzen,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,649.87,844.87,23,4.5,14,2
639,ASUS,ZenBook,Intel,Core i5,11th,16.0,LPDDR4X,512,0,Windows,64,0,ThinNlight,13.3,0,No,No,1104.87,1364.87,19,0.0,0,0
640,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,256,1024,Windows,64,2,Casual,15.6,0,No,No,877.37,1073.8,18,3.8,41,5
641,acer,Aspire,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,987.987,0.0,0,0.0,0,0
642,ASUS,Vivobook,AMD,Ryzen 9,,16.0,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,1696.5,2118.87,19,0.0,0,0
643,Lenovo,Core,Intel,Core i7,9th,16.0,DDR4,1024,0,Windows,64,4,ThinNlight,15.6,0,No,No,2988.7,3536.0,15,0.0,0,0
644,HP,Core,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,576.8879999999999,589.8879999999999,2,4.2,1090,96
645,HP,Spectre,Intel,Core i7,10th,16.0,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,No,2118.87,2508.701,15,3.3,3,1
646,acer,Dual,AMD,Dual Core,,4.0,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,415.87,428.87,3,4.0,762,104
648,ASUS,Vivobook,Intel,Pentium Quad,,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,428.87,519.87,17,4.3,7,1
649,Lenovo,Thinpad,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,2,Casual,15.6,0,No,No,1169.974,1319.825,11,0.0,0,0
650,DELL,XPS,Intel,Core i7,11th,16.0,LPDDR4X,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,1758.8999999999999,1762.1889999999999,0,5.0,5,2
651,MSI,Modern,Intel,Core i7,11th,8.0,DDR4,512,0,Windows,64,0,Casual,14.0,0,No,No,844.87,1026.87,17,4.4,33,5
652,acer,Aspire,Intel,Core i5,8th,8.0,DDR4,0,1024,Windows,64,2,ThinNlight,15.6,1,No,No,805.87,813.137,0,4.1,73,21
653,ASUS,Vivobook,AMD,Ryzen 9,,8.0,DDR4,1024,0,Windows,64,4,Casual,14.0,0,No,No,1520.87,1949.87,22,0.0,0,0
654,ASUS,ZenBook,Intel,Core i5,11th,8.0,LPDDR4X,512,0,Windows,64,0,Casual,14.0,1,Yes,No,1299.87,1598.87,18,0.0,0,0
655,ASUS,VivoBook,Intel,Core i3,10th,4.0,DDR4,512,0,Windows,64,0,Casual,14.0,1,No,No,539.37,649.87,17,4.4,4008,519
656,ASUS,ASUS,Intel,Core i7,11th,16.0,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,1709.5,2275.0,24,0.0,0,0
657,ASUS,Zenbook,Intel,Core i5,11th,8.0,LPDDR4X,512,0,Windows,64,0,ThinNlight,13.3,0,No,No,1104.87,1442.87,23,0.0,0,0
658,Lenovo,IdeaPad,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,908.687,960.687,5,4.3,474,37
659,DELL,Vostro,Intel,Core i5,11th,8.0,DDR4,256,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,805.87,895.6999999999999,10,0.0,0,0
660,DELL,Inpiron,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,1039.87,1528.6309999999999,31,0.0,0,0
661,ASUS,Ryzen,AMD,Ryzen 9,,16.0,DDR4,1024,0,Windows,32,6,Casual,14.0,0,No,No,1806.87,2742.87,34,0.0,0,0
662,DELL,GAMING,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,991.9,1039.9869999999999,4,4.2,6,0
663,DELL,Vostro,Intel,Core i3,10th,4.0,DDR4,256,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,575.77,752.154,23,0.0,0,0
664,DELL,Core,Intel,Core i5,11th,8.0,DDR4,0,1024,Windows,32,0,Casual,15.0,0,No,No,755.17,779.87,3,0.0,0,0
665,DELL,G5,AMD,Ryzen 7,,16.0,DDR4,512,0,Windows,64,6,Casual,15.6,0,No,No,1169.87,1287.8709999999999,9,4.1,191,27
666,Lenovo,Yoga,AMD,Ryzen 7,,16.0,DDR4,512,0,Windows,64,0,Casual,13.3,3,Yes,Yes,1026.844,1490.97,31,0.0,0,0
667,Lenovo,Ideapad,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,727.987,1169.9869999999999,37,0.0,0,0
668,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,14.0,0,No,No,947.6999999999999,973.6999999999999,2,3.9,24,4
669,Lenovo,ThinkPad,Intel,Core i7,10th,16.0,DDR4,512,0,Windows,64,0,ThinNlight,13.3,3,No,No,2268.851,0.0,0,0.0,0,0
670,DELL,Inspiron,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,Casual,14.0,1,Yes,Yes,961.87,1203.8,20,4.5,195,17
671,Lenovo,ThinkPad,Intel,Core i5,10th,8.0,DDR4,512,512,Windows,64,0,ThinNlight,14.0,3,Yes,No,1630.1219999999998,1906.84,14,0.0,0,0
672,ASUS,ROG,AMD,Ryzen 9,,32.0,LPDDR4X,1024,0,Windows,64,4,Casual,13.4,1,Yes,Yes,3054.87,4562.87,33,0.0,0,0
673,ASUS,VivoBook,AMD,Ryzen 5,,8.0,DDR4,256,1024,Windows,64,0,Casual,17.3,1,No,Yes,818.87,974.87,16,4.2,165,34
674,DELL,Inspiron,Intel,Core i3,11th,8.0,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,636.987,742.235,14,0.0,0,0
